morpheme_es,morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_es,type,tense,aspect,number,is_cognate,is_false_friend,inactive,,,,
pretender,,ATTEMPT,ATTEMPT,verb,,,intrans,,,,,Y,,,,,
,realizar,REALIZE,REALIZE,verb,,,trans,,,,,Y,,,,,
realizar,,BECOME_TRUE,BECOME_TRUE,verb,,,trans,,,,,Y,,,,,
,recordar,RECORD,RECORD,verb,,,intrans,,,,,Y,,,,,
recordar,,REMEMBER,REMEMBER,verb,,,intrans,,,,,Y,,,,,
,soportar,SUPPORT,SUPPORT,verb,,,trans,,,,,Y,,,,,
soportar,,TOLERATE,TOLERATE,verb,,,trans,,,,,Y,,,,,
la,,,,det,,F,def,,,,,,,,,,
el,the,,,det,,M,def,,,,,,,,,,
una,,,,det,,F,indef,,,,,,,,,,
un,a,,,det,,M,indef,,,,,,,,,,
él,he,,,pron,,M,subject,,,,,,,,,,
ella,she,,,pron,,F,subject,,,,,,,,,,
hombre,man,MAN,HUMAN,noun,M,M,,,,,,,,,,,
niño,boy,BOY,CHILD,noun,M,M,,,,,,,,,,,
padre,father,FATHER,PARENT,noun,M,M,,,,,,,,,,,
hermano,brother,BROTHER,SIBLING,noun,M,M,,,,,,,,,,,
abuelo,grandfather,GRANDFATHER,GRANDPARENT,noun,M,M,,,,,,,Y,,,,
esposo,husband,HUSBAND,PARTNER,noun,M,M,,,,,,,,,,,
sobrino,nephew,NEPHEW,NIBLING,noun,M,M,,,,,,,Y,,,,
hijo,son,SON,OFFSPRING,noun,M,M,,,,,,,Y,,,,
tío,uncle,UNCLE,UNCLES,noun,M,M,,,,,,,,,,,
maestro,teacher,TEACHER,TEACHER,noun,M,M,,,,,,,Y,,,,
anfitrión,host,HOST,HOST,noun,M,M,,,,,,,Y,,,,
camarero,waiter,WAITER,WAITER,noun,M,M,,,,,,,,,,,
monje,monk,MONK,MONK,noun,M,M,,,,,,,Y,,,,
viudo,widower,WIDOWER,WIDOW,noun,M,M,,,,,,,,,,,
toro,bull,BULL,BULL,noun,M,M,,,,,,,Y,,,,
perro,dog,DOG,DOG,noun,M,M,,,,,,,,,,,
mujer,woman,WOMAN,HUMAN,noun,F,F,,,,,,,,,,,
niña,girl,GIRL,CHILD,noun,F,F,,,,,,,,,,,
madre,mother,MOTHER,PARENT,noun,F,F,,,,,,,,,,,
hermana,sister,SISTER,SIBLING,noun,F,F,,,,,,,,,,,
abuela,grandmother,GRANDMOTHER,GRANDPARENT,noun,F,F,,,,,,,Y,,,,
esposa,wife,WIFE,PARTNER,noun,F,F,,,,,,,,,,,
sobrina,niece,NIECE,NIBLING,noun,F,F,,,,,,,Y,,,,
hija,daughter,DAUGHTER,OFFSPRING,noun,F,F,,,,,,,Y,,,,
tía,aunt,AUNT,UNCLES,noun,F,F,,,,,,,,,,,
enfermera,nurse,NURSE,NURSE,noun,F,F,,,,,,,Y,,,,
actríz,actress,ACTRESS,ACTOR,noun,F,F,,,,,,,Y,,,,
anfitriona,hostess,HOSTESS,HOST,noun,F,F,,,,,,,,,,,
camarera,waitress,WAITRESS,WAITER,noun,F,F,,,,,,,,,,,
monja,nun,NUN,MONK,noun,F,F,,,,,,,Y,,,,
viuda,widow,WIDOW,WIDOW,noun,F,F,,,,,,,,,,,
vaca,cow,COW,BULL,noun,F,F,,,,,,,Y,,,,
gata,cat,CAT,CAT,noun,F,F,,,,,,,,,,,
pelota,ball,BALL,BALL,noun,,F,,,,,,,,,,,
palo,stick,STICK,STICK,noun,,M,,,,,,,Y,,,,
juguete,toy,TOY,TOY,noun,,M,,,,,,,,,,,
cometa,kite,KITE,KITE,noun,,F,,,,,,,Y,,,,
llave,key,KEY,KEY,noun,,F,,,,,,,,,,,
globo,balloon,BALLOON,BALLOON,noun,,M,,,,,,,,,,,
bolso,bag,BAG,BAG,noun,,M,,,,,,,Y,,,,
silla,chair,CHAIR,CHAIR,noun,,F,,,,,,,Y,,,,
bolígrafo,pen,PEN,PEN,noun,,M,,,,,,,,,,,
cartera,wallet,WALLET,WALLET,noun,,F,,,,,,,Y,,,,
feliz,happy,HAPPY,HAPPY,adj,M-F,M-F,,,,,,,,,,,
triste,sad,SAD,SAD,adj,M-F,M-F,,,,,,,,,,,
alto,tall,TALL,TALL,adj,M,M,,,,,,,,,,,
alta,tall,TALL,TALL,adj,F,F,,,,,,,,,,,
pequeño,short,SHORT,SHORT,adj,M,M,,,,,,,Y,,,,
pequeña,short,SHORT,SHORT,adj,F,F,,,,,,,Y,,,,
barrato,cheap,CHEAP,CHEAP,adj,,M,,,,,,,,,,,
barrata,cheap,CHEAP,CHEAP,adj,,F,,,,,,,,,,,
caro,expensive,EXPENSIVE,EXPENSIVE,adj,,M,,,,,,,,,,,
cara,expensive,EXPENSIVE,EXPENSIVE,adj,,F,,,,,,,,,,,
colorido,colorful,COLORFUL,COLORFUL,adj,,M,,,,,,,,,,,
colorida,colorful,COLORFUL,COLORFUL,adj,,F,,,,,,,,,,,
grande,big,BIG,BIG,adj,,M-F,,,,,,,,,,,
pues,actually,,,adv,,,,,,,,,Y,,,,
está,is,,,aux,,,auxiliary_verb,present,prog,singular,,,,,,,
están,are,,,aux,,,auxiliary_verb,present,prog,plural,,,Y,,,,
estaba,was,,,aux,,,auxiliary_verb,past,prog,singular,,,,,,,
estaban,were,,,aux,,,auxiliary_verb,past,prog,plural,,,Y,,,,
ha,has,,,aux,,,auxiliary_verb,present,perfect,singular,,,,,,,
había,had,,,aux,,,auxiliary_verb,past,perfect,singular,,,,,,,
han,have,,,aux,,,auxiliary_verb,present,perfect,plural,,,Y,,,,
habían,had,,,aux,,,auxiliary_verb,past,perfect,plural,,,Y,,,,
por,by,,,prep,,,by,,,,,,Y,,,,
con,with,,,prep,,,with,,,,,,,,,,
a_,to,,,prep,,,to,,,,,,,,,,
está,is,BE,BE,verb,,,copular,present,,,,,,,,,
era,was,BE,BE,verb,,,copular,past,,,,,,,,,
tiene,has,HAS,HAS,verb,,,possession,present,,,,,,,,,
tenía,had,HAS,HAS,verb,,,possession,past,,,,,,,,,
está,is,BE,BE,verb_prefix,,,copular,present,,,,,,,,copular,present
era,was,BE,BE,verb_prefix,,,copular,past,,,,,,,,copular,past
tiene,has,HAS,HAS,verb_prefix,,,possession,present,,,,,,,,possession,present
tenía,had,HAS,HAS,verb_prefix,,,possession,past,,,,,,,,possession,past
nad,swim,SWIM,SWIM,verb_prefix,,,intrans,,,,,,,,,,
salt,jump,JUMP,JUMP,verb_prefix,,,intrans,,,,,,,,,,
camin,walk,WALK,WALK,verb_prefix,,,intrans,,,,,,,,,,
corr,run,RUN,RUN,verb_prefix,,,intrans,,,,,,,,,,
lleg,arriv,ARRIVE,ARRIVE,verb_prefix,,,intrans,,,,,,,,,,
estornud,sneez,SNEEZE,SNEEZE,verb_prefix,,,intrans,,,,,,,,,,
muer,die,DIE,DIE,verb_prefix,,,intrans,,,,,,,,,,
com,eat,EAT,EAT,verb_prefix,,,intrans,,,,,,,,,,
empuj,push,PUSH,PUSH,verb_prefix,,,trans,,,,,,,,,,
golp,hit,HIT,HIT,verb_prefix,,,trans,,,,,,,,,,
pate,kick,KICK,KICK,verb_prefix,,,trans,,,,,,,,,,
llev,carry,CARRY,CARRY,verb_prefix,,,trans,,,,,,,,,,
d,give,GIVE,GIVE,verb_prefix,,,double,,,,,,,,,,
tir,throw,THROW,THROW,verb_prefix,,,double,,,,,,,,,,
mostr,show,SHOW,SHOW,verb_prefix,,,double,,,,,,,,,,
nada,swims,SWIM,SWIM,verb,,,intrans,present,,3rd_singular,,,,,,,
salta,jumps,JUMP,JUMP,verb,,,intrans,present,,3rd_singular,,,Y,,,,
camina,walks,WALK,WALK,verb,,,intrans,present,,3rd_singular,,,,,,,
corre,runs,RUN,RUN,verb,,,intrans,present,,3rd_singular,,,,,,,
llega,arrives,ARRIVE,ARRIVE,verb,,,intrans,present,,3rd_singular,,,,,,,
estornuda,sneezes,SNEEZE,SNEEZE,verb,,,intrans,present,,3rd_singular,,,Y,,,,
muere,dies,DIE,DIE,verb,,,intrans,present,,3rd_singular,,,Y,,,,
come,eats,EAT,EAT,verb,,,intrans,present,,3rd_singular,,,,,,,
empuja,pushes,PUSH,PUSH,verb,,,trans,present,,3rd_singular,,,,,,,
golpea,hits,HIT,HIT,verb,,,trans,present,,3rd_singular,,,Y,,,,
patea,kicks,KICK,KICK,verb,,,trans,present,,3rd_singular,,,,,,,
lleva,carries,CARRY,CARRY,verb,,,trans,present,,3rd_singular,,,,,,,
da,gives,GIVE,GIVE,verb,,,double,present,,3rd_singular,,,,,,,
tira,throws,THROW,THROW,verb,,,double,present,,3rd_singular,,,Y,,,,
muestra,shows,SHOW,SHOW,verb,,,double,present,,3rd_singular,,,,,,,
nadó,swam,SWIM,SWIM,verb,,,intrans,past,,3rd_singular,,,,,,,
saltó,jumped,JUMP,JUMP,verb,,,intrans,past,,3rd_singular,,,Y,,,,
caminó,walked,WALK,WALK,verb,,,intrans,past,,3rd_singular,,,,,,,
corrió,ran,RUN,RUN,verb,,,intrans,past,,3rd_singular,,,,,,,
llegó,arrived,ARRIVE,ARRIVE,verb,,,intrans,past,,3rd_singular,,,,,,,
estornudó,sneezed,SNEEZE,SNEEZE,verb,,,intrans,past,,3rd_singular,,,Y,,,,
murió,died,DIE,DIE,verb,,,intrans,past,,3rd_singular,,,Y,,,,
comió,ate,EAT,EAT,verb,,,intrans,past,,3rd_singular,,,,,,,
empujó,pushed,PUSH,PUSH,verb,,,trans,past,,3rd_singular,,,,,,,
golpeó,hit,HIT,HIT,verb,,,trans,past,,3rd_singular,,,Y,,,,
pateó,kicked,KICK,KICK,verb,,,trans,past,,3rd_singular,,,,,,,
llevó,carried,CARRY,CARRY,verb,,,trans,past,,3rd_singular,,,,,,,
dio,gave,GIVE,GIVE,verb,,,double,past,,3rd_singular,,,,,,,
tiró,throwed,THROW,THROW,verb,,,double,past,,3rd_singular,,,Y,,,,
mostró,showed,SHOW,SHOW,verb,,,double,past,,3rd_singular,,,,,,,
nadando,swimming,SWIM,SWIM,participle,,,intrans,,prog,,,,,,,,
saltando,jumping,JUMP,JUMP,participle,,,intrans,,prog,,,,Y,,,,
caminando,walking,WALK,WALK,participle,,,intrans,,prog,,,,,,,,
corriendo,running,RUN,RUN,participle,,,intrans,,prog,,,,,,,,
llegando,arriving,ARRIVE,ARRIVE,participle,,,intrans,,prog,,,,,,,,
estornudando,sneezing,SNEEZE,SNEEZE,participle,,,intrans,,prog,,,,Y,,,,
muriendo,dying,DIE,DIE,participle,,,intrans,,prog,,,,Y,,,,
comiendo,eating,EAT,EAT,participle,,,intrans,,prog,,,,,,,,
empujando,pushing,PUSH,PUSH,participle,,,trans,,prog,,,,,,,,
golpeando,hitting,HIT,HIT,participle,,,trans,,prog,,,,Y,,,,
pateando,kicking,KICK,KICK,participle,,,trans,,prog,,,,,,,,
llevando,carrying,CARRY,CARRY,participle,,,trans,,prog,,,,,,,,
dando,giving,GIVE,GIVE,participle,,,double,,prog,,,,,,,,
tirando,throwing,THROW,THROW,participle,,,double,,prog,,,,Y,,,,
mostrando,showing,SHOW,SHOW,participle,,,double,,prog,,,,,,,,
nadado,swum,SWIM,SWIM,participle,,,intrans,,perfect,,,,,,,,
saltado,jumped,JUMP,JUMP,participle,,,intrans,,perfect,,,,Y,,,,
caminado,walked,WALK,WALK,participle,,,intrans,,perfect,,,,Y,,,,
corrido,run,RUN,RUN,participle,,,intrans,,perfect,,,,,,,,
llegado,arrived,ARRIVE,ARRIVE,participle,,,intrans,,perfect,,,,,,,,
estornudado,sneezed,SNEEZE,SNEEZE,participle,,,intrans,,perfect,,,,Y,,,,
muerto,died,DIE,DIE,participle,,,intrans,,perfect,,,,Y,,,,
comido,eaten,EAT,EAT,participle,,,intrans,,perfect,,,,,,,,
empujado,pushed,PUSH,PUSH,participle,,,trans,,perfect,,,,,,,,
golpeado,hit,HIT,HIT,participle,,,trans,,perfect,,,,Y,,,,
pateado,kicked,KICK,KICK,participle,,,trans,,perfect,,,,,,,,
llevado,carried,CARRY,CARRY,participle,,,trans,,perfect,,,,,,,,
dado,given,GIVE,GIVE,participle,,,double,,perfect,,,,,,,,
tirado,thrown,THROW,THROW,participle,,,double,,perfect,,,,Y,,,,
mostrado,shown,SHOW,SHOW,participle,,,double,,perfect,,,,,,,,
-ando,-ing,,,participle_suffix,,,,,prog,,,,,,,,
-ado,-d,,,participle_suffix,,,,,perfect,,,,,,,,
-a,-s,,,verb_suffix,,,,present,,,,,,,,,
-ó,-ed,,,verb_suffix,,,,past,,,,,,,,,
