morpheme_es,morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_es,full_verb_3rd_en,full_verb_3rd_es,participle_en,participle_es,past_tense_en,past_tense_es,type,adj_es_female,is_cognate,is_false_friend,inactive
un,a,,,det,,M,,,,,,,indef,,,,
él,he,,,pron,,,,,,,,,,,,,
ella,she,,,pron,,,,,,,,,,,,,
,it,,,pron,,,,,,,,,,,,,
hombre,man,MAN,HUMAN,noun,M,M,,,,,,,,,,,
niño,boy,BOY,CHILD,noun,M,M,,,,,,,,,,,
padre,father,FATHER,PARENT,noun,M,M,,,,,,,,,,,
hermano,brother,BROTHER,SIBLING,noun,M,M,,,,,,,,,,,
abuelo,grandfather,GRANDFATHER,GRANDPARENT,noun,M,M,,,,,,,,,,,
esposo,husband,HUSBAND,PARTNER,noun,M,M,,,,,,,,,,,
sobrino,nephew,NEPHEW,NIBLING,noun,M,M,,,,,,,,,,,
hijo,son,SON,OFFSPRING,noun,M,M,,,,,,,,,,,
tío,uncle,UNCLE,UNCLES,noun,M,M,,,,,,,,,,,
maestro,teacher,TEACHER,TEACHER,noun,M,M,,,,,,,,,,,
anfitrión,host,HOST,HOST,noun,M,M,,,,,,,,,,,
camarero,waiter,WAITER,WAITER,noun,M,M,,,,,,,,,,,
monje,monk,MONK,MONK,noun,M,M,,,,,,,,,,,
viudo,widower,WIDOWER,WIDOW,noun,M,M,,,,,,,,,,,
toro,bull,BULL,BULL,noun,M,M,,,,,,,,,,,
perro,dog,DOG,DOG,noun,M,M,,,,,,,,,,,
mujer,woman,WOMAN,HUMAN,noun,F,F,,,,,,,,,,,
niña,girl,GIRL,CHILD,noun,F,F,,,,,,,,,,,
madre,mother,MOTHER,PARENT,noun,F,F,,,,,,,,,,,
hermana,sister,SISTER,SIBLING,noun,F,F,,,,,,,,,,,
abuela,grandmother,GRANDMOTHER,GRANDPARENT,noun,F,F,,,,,,,,,,,
esposa,wife,WIFE,PARTNER,noun,F,F,,,,,,,,,,,
sobrina,niece,NIECE,NIBLING,noun,F,F,,,,,,,,,,,
hija,daughter,DAUGHTER,OFFSPRING,noun,F,F,,,,,,,,,,,
tía,aunt,AUNT,UNCLES,noun,F,F,,,,,,,,,,,
enfermera,nurse,NURSE,NURSE,noun,F,F,,,,,,,,,,,
actríz,actress,ACTRESS,ACTOR,noun,F,F,,,,,,,,,,,
anfitriona,hostess,HOSTESS,HOST,noun,F,F,,,,,,,,,,,
camarera,waitress,WAITRESS,WAITER,noun,F,F,,,,,,,,,,,
monja,nun,NUN,MONK,noun,F,F,,,,,,,,,,,
viuda,widow,WIDOW,WIDOW,noun,F,F,,,,,,,,,,,
vaca,cow,COW,BULL,noun,F,F,,,,,,,,,,,
gata,cat,CAT,CAT,noun,F,F,,,,,,,,,,,
pelota,ball,BALL,BALL,noun,,F,,,,,,,,,,,
palo,stick,STICK,STICK,noun,,M,,,,,,,,,,,
juguete,toy,TOY,TOY,noun,,M,,,,,,,,,,,
cometa,kite,KITE,KITE,noun,,F,,,,,,,,,,,
llave,key,KEY,KEY,noun,,F,,,,,,,,,,,
globo,balloon,BALLOON,BALLOON,noun,,M,,,,,,,,,,,
bolso,bag,BAG,BAG,noun,,M,,,,,,,,,,,
silla,chair,CHAIR,CHAIR,noun,,F,,,,,,,,,,,
bolígrafo,pen,PEN,PEN,noun,,M,,,,,,,,,,,
cartera,wallet,WALLET,WALLET,noun,,F,,,,,,,,,,,
feliz,happy,HAPPY,HAPPY,adj,M-F,M-F,,,,,,,,,,,
triste,sad,SAD,SAD,adj,M-F,M-F,,,,,,,,,,,
alto,tall,TALL,TALL,adj,M-F,M,,,,,,,,alta,,,
pequeño,short,SHORT,SHORT,adj,M-F,M,,,,,,,,pequeña,,,
barrato,cheap,CHEAP,CHEAP,adj,,M,,,,,,,,barrata,,,
caro,expensive,EXPENSIVE,EXPENSIVE,adj,,M,,,,,,,,cara,,,
colorido,colorful,COLORFUL,COLORFUL,adj,,M,,,,,,,,colorida,,,
grande,big,BIG,BIG,adj,,M-F,,,,,,,,,,,
pues,actually,,,adv,,,,,,,,,,,,,
está,is,,,aux,,,,,,,was,estaba,singular,,,,
están,are,,,aux,,,,,,,were,estaban,plural,,,,
por,by,,,prep,,,,,,,,,by,,,,
con,with,,,prep,,,,,,,,,with,,,,
a_,to,,,prep,,,,,,,,,to,,,,
nad,swim,SWIM,SWIM,verb,,,swims,nada,swimming,nadando,swam,nadó,intrans,,,,
salt,jump,JUMP,JUMP,verb,,,jumps,salta,jumping,saltando,jumped,saltó,intrans,,,,
camin,walk,WALK,WALK,verb,,,walks,camina,walking,caminando,walked,caminó,intrans,,,,
corr,run,RUN,RUN,verb,,,runs,corre,running,corriendo,ran,corrió,intrans,,,,
lleg,arriv,ARRIVE,ARRIVE,verb,,,arrives,llega,arriving,llegando,arrived,llegó,intrans,,,,
estornud,sneez,SNEEZE,SNEEZE,verb,,,sneezes,estornuda,sneezing,estornudando,sneezed,estornudó,intrans,,,,
muer,die,DIE,DIE,verb,,,dies,muere,dying,muriendo,died,moría,intrans,,,,
com,eat,EAT,EAT,verb,,,eats,come,eating,comiendo,ate,comía,intrans,,,,
empuj,push,PUSH,PUSH,verb,,,pushes,empuja,pushing,empujando,pushed,empujó,trans,,,,
golp,hit,HIT,HIT,verb,,,hits,golpea,hitting,golpeando,hit,golpeó,trans,,,,
pate,kick,KICK,KICK,verb,,,kicks,patea,kicking,pateando,kicked,pateó,trans,,,,
llev,carry,CARRY,CARRY,verb,,,carries,lleva,carrying,llevando,carried,llevó,trans,,,,
d,give,GIVE,GIVE,verb,,,gives,da,giving,dando,gave,dio,double,,,,
tir,throw,THROW,THROW,verb,,,throws,tira,throwing,tirando,throwed,tiró,double,,,,
mostr,show,SHOW,SHOW,verb,,,shows,muestra,showing,mostrando,showed,mostró,double,,,,
-ando,-ing,,,gerund_suffix,,,,,,,,,ing,,,,
-a,-s,,,verb_suffix,,,,,,,-ed,-ó,,,,,
